Date,User,Tweet,Cleaned_Tweet,Sentiment
2025-06-21 12:00:02,@ai_addict,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-06-15 07:00:02,@ai_addict,I have concerns about the ethical use of OpenAI.,concerns ethical use openai,Positive
2025-05-31 12:00:02,@byte_blazer,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-06-03 22:00:02,@futurecoder,The future of GPT-4 is exciting and scary at the same time.,future gpt exciting scary time,Neutral
2025-06-20 05:00:02,@the_future_now,"I love using ChatGPT for my work, it's amazing!",love using chatgpt work amazing,Positive
2025-06-03 11:00:02,@cyber_sage,I'm worried about job loss due to AI.,im worried job loss due ai,Negative
2025-05-30 15:00:02,@nextgen_techie,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-06-09 04:00:02,@nextgen_techie,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-06-14 11:00:02,@robotic_vision,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-06-12 03:00:02,@ml_master,AI is changing how we live and work.,ai changing live work,Neutral
2025-05-23 01:00:02,@deepthinker,I have concerns about the ethical use of AI.,concerns ethical use ai,Positive
2025-06-10 08:00:02,@the_future_now,The future of ChatGPT is exciting and scary at the same time.,future chatgpt exciting scary time,Neutral
2025-06-03 03:00:02,@code_with_ai,Can't believe how powerful OpenAI has become!,cant believe powerful openai become,Negative
2025-06-05 08:00:02,@the_future_now,"So many companies are adopting ChatGPT, it’s everywhere now.",many companies adopting chatgpt everywhere,Neutral
2025-06-05 02:00:02,@smartbyte,The future of Generative AI is exciting and scary at the same time.,future generative ai exciting scary time,Neutral
2025-05-25 00:00:02,@gpt_dev,The advancements in Artificial Intelligence are truly fascinating.,advancements artificial intelligence truly fascinating,Positive
2025-05-31 09:00:02,@ml_master,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-05-29 02:00:02,@nextgen_techie,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-05-26 08:00:02,@botbuster,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-06-07 15:00:02,@futurecoder,"Generative AI is overrated, in my opinion.",generative ai overrated opinion,Neutral
2025-06-11 00:00:02,@digital_dreamer,OpenAI is revolutionizing the tech industry.,openai revolutionizing tech industry,Neutral
2025-05-30 14:00:02,@cyber_sage,"AI is overrated, in my opinion.",ai overrated opinion,Neutral
2025-06-02 15:00:02,@cyber_sage,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-05-30 04:00:02,@intelli_user,I'm worried about job loss due to AI.,im worried job loss due ai,Negative
2025-06-10 03:00:02,@cyber_sage,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-14 14:00:02,@the_future_now,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-06-15 10:00:02,@code_with_ai,"I love using OpenAI for my work, it's amazing!",love using openai work amazing,Positive
2025-06-14 09:00:02,@byte_blazer,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-05-24 13:00:02,@ai_addict,The advancements in AI are truly fascinating.,advancements ai truly fascinating,Positive
2025-06-01 20:00:02,@ai_wave,I have concerns about the ethical use of OpenAI.,concerns ethical use openai,Positive
2025-06-18 03:00:02,@chatgptlover,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-05-29 18:00:02,@ai_fan_99,I have concerns about the ethical use of AI.,concerns ethical use ai,Positive
2025-05-29 17:00:02,@chatgptlover,"GPT-4 is overrated, in my opinion.",gpt overrated opinion,Neutral
2025-06-10 00:00:02,@the_future_now,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-06-05 20:00:02,@ai_addict,AI is revolutionizing the tech industry.,ai revolutionizing tech industry,Neutral
2025-05-26 08:00:02,@openai_enthusiast,"I love using ChatGPT for my work, it's amazing!",love using chatgpt work amazing,Positive
2025-05-27 14:00:02,@neural_net_ninja,AI is revolutionizing the tech industry.,ai revolutionizing tech industry,Neutral
2025-06-19 23:00:02,@robotic_vision,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-06-07 19:00:02,@robotic_vision,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-05-26 11:00:02,@ai_fan_99,I'm worried about job loss due to OpenAI.,im worried job loss due openai,Negative
2025-05-31 18:00:02,@code_with_ai,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-06-19 02:00:02,@intelli_user,Can't believe how powerful OpenAI has become!,cant believe powerful openai become,Negative
